order_detail_id,order_id,customer_id,employee_id,product_id,date_key,quantity,unit_price,discount,total_amount,shipping_fee,taxes
1,11,2,1,24,20250224,35.35,88.1,0.2049,2476.2077585,13.09,59.08
2,6,1,10,3,20250901,22.26,51.22,0.1773,938.00732844,26.56,31.87
3,20,8,8,10,20250821,1.18,15.49,0.164,15.280575199999998,31.62,54.82
4,29,1,8,11,20251221,37.6,43.16,0.2315,1247.134096,31.35,49.77
5,4,9,7,14,20250624,26.04,65.72,0.132,1485.4507584,42.05,6.55
6,30,3,2,8,20240421,26.55,98.18,0.133,2259.990693,32.03,75.52
7,12,11,1,25,20250323,60.41,32.99,0.0863,1820.93639483,14.88,21.33
8,26,10,6,2,20250218,62.39,86.03,0.2228,4171.552373240001,32.21,97.87
9,15,3,7,13,20240306,85.03,43.48,0.2167,2895.94187652,5.59,95.52
10,12,11,1,8,20250323,65.77,35.82,0.1258,2059.51151988,14.88,21.33
11,18,9,5,23,20251204,45.76,22.25,0.0623,954.728632,27.51,9.59
12,28,5,8,22,20251025,53.29,99.87,0.1013,4782.94637601,24.73,46.65
13,23,9,2,24,20250618,78.34,70.93,0.2345,4253.620321100001,9.12,68.06
14,14,11,2,19,20250109,37.85,31.87,0.1726,998.0756583000001,33.91,65.6
15,12,11,1,15,20250323,63.01,27.38,0.1196,1518.8782295199999,14.88,21.33
16,16,1,9,14,20250205,57.2,69.8,0.1961,3209.618984,23.84,72.89
17,5,11,9,13,20250625,86.79,40.36,0.0207,3430.3355209200004,25.25,94.59
18,16,1,9,14,20250205,49.54,53.96,0.1357,2310.42809112,23.84,72.89
19,17,4,9,19,20250218,72.26,85.94,0.1489,5285.35176684,7.76,42.18
20,22,5,7,2,20240515,25.27,81.97,0.1857,1686.72628117,37.5,8.28
21,2,7,9,7,20240404,96.61,61.88,0.1518,5070.73197176,29.46,80.01
22,15,3,7,20,20240306,14.96,10.4,0.0998,140.0567168,5.59,95.52
23,5,11,9,25,20250625,85.34,42.63,0.1954,2927.17036332,25.25,94.59
24,11,2,1,2,20250224,62.14,76.15,0.0125,4672.8114875,13.09,59.08
25,11,2,1,10,20250224,12.15,68.64,0.1575,702.62478,13.09,59.08
26,27,15,3,23,20250206,17.46,54.2,0.1023,849.5222364,47.3,52.26
27,11,2,1,3,20250224,95.15,98.69,0.1851,7652.199067150001,13.09,59.08
28,12,11,1,23,20250323,21.41,38.29,0.0168,806.01644648,14.88,21.33
29,15,3,7,25,20240306,11.97,27.96,0.2209,260.75012292,5.59,95.52
30,22,5,7,16,20240515,13.72,71.03,0.2327,747.75809668,37.5,8.28
31,4,9,7,22,20250624,24.37,99.96,0.1073,2174.63969604,42.05,6.55
32,29,1,8,18,20251221,58.04,77.7,0.0886,4110.147871200001,31.35,49.77
33,9,8,7,2,20240704,89.66,61.35,0.1459,4698.0974780999995,30.14,70.84
34,21,15,10,2,20251017,66.52,20.43,0.1209,1194.70006476,25.84,77.65
35,13,2,2,20,20250419,71.05,39.45,0.1056,2506.933884,8.77,79.71
36,11,2,1,7,20250224,55.12,85.1,0.2451,3541.0184888,13.09,59.08
37,15,3,7,2,20240306,15.0,51.97,0.1196,686.3158199999999,5.59,95.52
38,29,1,8,20,20251221,19.09,11.29,0.132,187.0766548,31.35,49.77
39,25,4,1,3,20240716,98.07,19.56,0.0478,1826.5568882399998,29.0,33.88
40,5,11,9,23,20250625,26.95,94.61,0.1181,2248.6152650500003,25.25,94.59
41,25,4,1,10,20240716,14.18,66.42,0.2382,717.4903600800001,29.0,33.88
42,18,9,5,3,20251204,75.83,67.56,0.092,4651.7519184,27.51,9.59
43,8,11,2,22,20240106,40.02,92.29,0.0189,3623.63967438,23.13,31.41
44,24,5,9,19,20240330,4.04,70.35,0.0297,275.7728442,38.36,42.86
45,30,3,2,8,20240421,88.04,48.2,0.1715,3515.762948,32.03,75.52
46,20,8,8,1,20250821,89.23,52.22,0.2495,3497.0227453,31.62,54.82
47,17,4,9,17,20250218,58.8,15.44,0.0414,870.2860992,7.76,42.18
48,29,1,8,5,20251221,49.85,15.61,0.002,776.602183,31.35,49.77
49,27,15,3,25,20250206,75.15,85.47,0.0875,5861.051831250001,47.3,52.26
50,8,11,2,8,20240106,51.17,11.68,0.0539,565.45142416,23.13,31.41
51,51,61,1,54,20260103,7.0,265.75,0.0,1860.25,0.0,0.0
52,52,36,1,40,20260103,27.0,161.46,0.0,4359.42,0.0,0.0
53,53,34,1,35,20260103,15.0,107.65,0.0,1614.75,0.0,0.0
54,54,90,1,29,20260103,35.0,178.06,0.0,6232.1,0.0,0.0
55,55,51,1,25,20260103,36.0,55.16,0.0,1985.76,0.0,0.0
56,56,9,1,48,20260103,44.0,249.54,0.0,10979.76,0.0,0.0
57,57,74,1,62,20260103,25.0,82.29,0.0,2057.25,0.0,0.0
58,58,17,1,59,20260103,49.0,175.87,0.0,8617.63,0.0,0.0
59,59,84,1,56,20260103,31.0,62.13,0.0,1926.03,0.0,0.0
60,60,74,1,49,20260103,10.0,382.16,0.0,3821.6,0.0,0.0
61,61,17,1,68,20260103,11.0,315.18,0.0,3466.98,0.0,0.0
62,62,51,1,56,20260103,27.0,296.05,0.0,7993.35,0.0,0.0
63,63,44,1,24,20260103,37.0,67.33,0.0,2491.21,0.0,0.0
64,64,19,1,31,20260103,40.0,454.03,0.0,18161.2,0.0,0.0
65,65,93,1,75,20260103,14.0,206.37,0.0,2889.18,0.0,0.0
66,66,76,1,42,20260103,10.0,105.13,0.0,1051.3,0.0,0.0
67,67,53,1,75,20260103,33.0,443.82,0.0,14646.06,0.0,0.0
68,68,89,1,67,20260103,6.0,312.8,0.0,1876.8,0.0,0.0
69,69,20,1,22,20260103,16.0,135.85,0.0,2173.6,0.0,0.0
70,70,20,1,8,20260103,30.0,433.67,0.0,13010.1,0.0,0.0
71,71,9,1,54,20260103,24.0,200.72,0.0,4817.28,0.0,0.0
72,72,38,1,61,20260103,48.0,451.36,0.0,21665.28,0.0,0.0
73,73,97,1,32,20260103,42.0,116.41,0.0,4889.22,0.0,0.0
74,74,87,1,71,20260103,9.0,125.36,0.0,1128.24,0.0,0.0
75,75,72,1,28,20260103,28.0,242.28,0.0,6783.84,0.0,0.0
76,76,91,1,34,20260103,11.0,301.11,0.0,3312.21,0.0,0.0
77,77,10,1,27,20260103,47.0,377.43,0.0,17739.21,0.0,0.0
78,78,48,1,63,20260103,13.0,168.37,0.0,2188.81,0.0,0.0
79,79,94,1,74,20260103,20.0,74.53,0.0,1490.6,0.0,0.0
80,80,71,1,9,20260103,20.0,103.63,0.0,2072.6,0.0,0.0
81,81,1,1,74,20260103,18.0,69.19,0.0,1245.42,0.0,0.0
82,82,16,1,28,20260103,35.0,472.37,0.0,16532.95,0.0,0.0
83,83,97,1,58,20260103,23.0,284.58,0.0,6545.34,0.0,0.0
84,84,45,1,52,20260103,25.0,65.94,0.0,1648.5,0.0,0.0
85,85,51,1,59,20260103,1.0,427.83,0.0,427.83,0.0,0.0
86,86,90,1,57,20260103,29.0,301.36,0.0,8739.44,0.0,0.0
87,87,58,1,37,20260103,47.0,427.07,0.0,20072.29,0.0,0.0
88,88,29,1,60,20260103,38.0,459.43,0.0,17458.34,0.0,0.0
89,89,86,1,63,20260103,34.0,475.7,0.0,16173.8,0.0,0.0
90,90,34,1,48,20260103,49.0,304.91,0.0,14940.59,0.0,0.0
91,91,61,1,1,20260103,47.0,224.17,0.0,10535.99,0.0,0.0
92,92,78,1,31,20260103,25.0,425.21,0.0,10630.25,0.0,0.0
93,93,55,1,60,20260103,38.0,96.56,0.0,3669.28,0.0,0.0
94,94,97,1,25,20260103,27.0,53.71,0.0,1450.17,0.0,0.0
95,95,49,1,1,20260103,1.0,423.0,0.0,423.0,0.0,0.0
96,96,13,1,28,20260103,7.0,61.91,0.0,433.37,0.0,0.0
97,97,21,1,36,20260103,27.0,407.08,0.0,10991.16,0.0,0.0
98,98,21,1,21,20260103,28.0,75.4,0.0,2111.2,0.0,0.0
99,99,15,1,71,20260103,9.0,67.39,0.0,606.51,0.0,0.0
100,100,8,1,74,20260103,34.0,423.84,0.0,14410.56,0.0,0.0
101,101,82,1,16,20260103,12.0,415.96,0.0,4991.52,0.0,0.0
1261,1261,96,1,45,20260104,42.0,168.72,0.0,7086.24,0.0,0.0
1273,1273,35,1,54,20260104,45.0,237.34,0.0,10680.3,0.0,0.0
1277,1277,55,1,64,20260104,20.0,132.19,0.0,2643.8,0.0,0.0
1281,1281,65,1,14,20260104,46.0,439.68,0.0,20225.28,0.0,0.0
1285,1285,46,1,38,20260104,43.0,140.5,0.0,6041.5,0.0,0.0
1289,1289,86,1,5,20260104,23.0,116.39,0.0,2676.97,0.0,0.0
1265,1265,78,1,55,20260104,28.0,284.41,0.0,7963.48,0.0,0.0
1270,1270,7,1,18,20260104,43.0,37.52,0.0,1613.36,0.0,0.0
1291,1291,37,1,69,20260104,50.0,314.49,0.0,15724.5,0.0,0.0
1293,1293,78,1,13,20260104,23.0,483.43,0.0,11118.89,0.0,0.0
1295,1295,76,1,9,20260104,19.0,19.19,0.0,364.61,0.0,0.0
102,102,8,1,37,20260103,46.0,55.14,0.0,2536.44,0.0,0.0
103,103,38,1,54,20260103,22.0,67.75,0.0,1490.5,0.0,0.0
104,104,5,1,45,20260103,6.0,211.74,0.0,1270.44,0.0,0.0
105,105,77,1,2,20260103,39.0,76.83,0.0,2996.37,0.0,0.0
106,106,53,1,53,20260103,13.0,64.12,0.0,833.56,0.0,0.0
107,107,46,1,58,20260103,5.0,432.58,0.0,2162.9,0.0,0.0
108,108,65,1,19,20260103,8.0,51.81,0.0,414.48,0.0,0.0
109,109,98,1,30,20260103,15.0,79.22,0.0,1188.3,0.0,0.0
110,110,6,1,8,20260103,8.0,87.66,0.0,701.28,0.0,0.0
111,111,62,1,18,20260103,24.0,128.5,0.0,3084.0,0.0,0.0
112,112,27,1,5,20260103,33.0,497.01,0.0,16401.33,0.0,0.0
113,113,29,1,68,20260103,4.0,414.92,0.0,1659.68,0.0,0.0
114,114,98,1,7,20260103,35.0,136.6,0.0,4781.0,0.0,0.0
115,115,4,1,55,20260103,31.0,328.13,0.0,10172.03,0.0,0.0
116,116,29,1,12,20260103,41.0,491.45,0.0,20149.45,0.0,0.0
117,117,79,1,41,20260103,15.0,494.75,0.0,7421.25,0.0,0.0
118,118,60,1,43,20260103,8.0,320.95,0.0,2567.6,0.0,0.0
119,119,44,1,25,20260103,26.0,20.08,0.0,522.08,0.0,0.0
120,120,45,1,12,20260103,20.0,357.32,0.0,7146.4,0.0,0.0
121,121,76,1,59,20260103,50.0,459.82,0.0,22991.0,0.0,0.0
122,122,30,1,49,20260103,22.0,399.03,0.0,8778.66,0.0,0.0
123,123,24,1,4,20260103,24.0,292.33,0.0,7015.92,0.0,0.0
124,124,55,1,30,20260103,2.0,251.36,0.0,502.72,0.0,0.0
125,125,22,1,53,20260103,20.0,290.12,0.0,5802.4,0.0,0.0
126,126,45,1,15,20260103,46.0,495.98,0.0,22815.08,0.0,0.0
127,127,57,1,3,20260103,27.0,134.92,0.0,3642.84,0.0,0.0
128,128,61,1,72,20260103,4.0,477.0,0.0,1908.0,0.0,0.0
129,129,32,1,30,20260103,38.0,182.04,0.0,6917.52,0.0,0.0
130,130,43,1,68,20260103,39.0,5.49,0.0,214.11,0.0,0.0
131,131,56,1,73,20260103,35.0,151.1,0.0,5288.5,0.0,0.0
132,132,62,1,33,20260103,20.0,494.4,0.0,9888.0,0.0,0.0
133,133,32,1,33,20260103,18.0,247.06,0.0,4447.08,0.0,0.0
134,134,75,1,47,20260103,9.0,32.79,0.0,295.11,0.0,0.0
135,135,62,1,32,20260103,35.0,486.73,0.0,17035.55,0.0,0.0
136,136,94,1,34,20260103,26.0,138.62,0.0,3604.12,0.0,0.0
